bag,chest,foot,hand,head,neck,ring,waist,weapon
1108,Shirt,Linen Shoes,Linen Gloves,Dragon's Crown,"""Sorrow Moon"" Pendant of Detection +1",Bronze Ring,Wool Sash,Grimoire
1109,Holy Chestplate,Linen Shoes,Linen Gloves,"""Woe Grasp"" Leather Cap of Protection +1",Pendant,Titanium Ring,Linen Sash,Bone Wand of Enlightenment
1110,Leather Armor,Leather Boots,Gloves,Hood,Necklace,Titanium Ring of the Fox,Ornate Belt,Club
1111,Dragonskin Armor of Perfection,Wool Shoes of Anger,Demon's Hands,Divine Hood,Pendant,Silver Ring,Hard Leather Belt,Grimoire
1112,Silk Robe,Shoes,Linen Gloves,Hood,Amulet,Titanium Ring,Brightsilk Sash,Warhammer of the Fox
1113,Silk Robe,Greaves,Ornate Gauntlets,Silk Hood,Amulet of Anger,Platinum Ring of Protection,Studded Leather Belt,Falchion
1114,Dragonskin Armor,Shoes,Hard Leather Gloves,Divine Hood of Giants,Pendant,Titanium Ring,Ornate Belt,Katana
1115,Hard Leather Armor,Demonhide Boots of Vitriol,Gauntlets,Leather Cap,Pendant,Gold Ring,Heavy Belt,"""Rune Whisper"" Ghost Wand of Anger"
1116,Plate Mail of Protection,Wool Shoes,Gloves,Great Helm,Pendant,"""Soul Glow"" Titanium Ring of the Twins",Brightsilk Sash,Falchion
1117,Silk Robe,Heavy Boots,"""Apocalypse Root"" Heavy Gloves of Brilliance",Silk Hood,Pendant,Titanium Ring of Fury,Leather Belt of Power,"""Vortex Whisper"" Ghost Wand of Reflection"
1118,Chain Mail,Heavy Boots,Holy Gauntlets,Linen Hood,Necklace,Gold Ring,Mesh Belt,Grave Wand
1119,Chain Mail,Studded Leather Boots,Gauntlets,Silk Hood,Pendant,Titanium Ring of Detection,Brightsilk Sash,Chronicle
1120,Chain Mail,Heavy Boots,Leather Gloves,Demon Crown of Reflection,Amulet,"""Plague Root"" Platinum Ring of Rage",War Belt of the Fox,Maul of Fury
1121,Shirt,Demonhide Boots,Dragonskin Gloves,Silk Hood of Titans,Pendant,Silver Ring,Plated Belt,Short Sword
1122,Chain Mail of Titans,Greaves,Wool Gloves,Ancient Helm,Necklace,Gold Ring,Wool Sash of Power,Book
1123,"""Storm Whisper"" Shirt of Enlightenment",Wool Shoes,Leather Gloves of the Twins,Hood,Amulet,Bronze Ring of Power,Plated Belt of Brilliance,"""Apocalypse Roar"" Club of Power"
1124,Leather Armor,Silk Slippers,Silk Gloves,Demon Crown of Protection,Necklace,Titanium Ring,Mesh Belt,Long Sword
1125,Studded Leather Armor,Silk Slippers,Chain Gloves of Fury,Divine Hood,Pendant,Titanium Ring of the Twins,Leather Belt,Ghost Wand
1126,Chain Mail of Perfection,Shoes of Rage,Demon's Hands,Cap of Power,Amulet,Bronze Ring,Mesh Belt,"""Gloom Bender"" Long Sword of Enlightenment +1"
1127,Studded Leather Armor,"""Pandemonium Shout"" Silk Slippers of Detection +1",Gauntlets,Cap,Necklace of the Fox,Silver Ring,Studded Leather Belt,Warhammer of Anger
1128,Linen Robe,Leather Boots of Enlightenment,Divine Gloves,Demon Crown of Protection,Necklace,Titanium Ring of Anger,Plated Belt,Grimoire
1129,Ring Mail,Linen Shoes,Gauntlets of the Fox,Helm,Pendant,Gold Ring,Plated Belt,Warhammer
1130,Robe,Shoes,Chain Gloves of the Fox,"""Carrion Roar"" Helm of Titans",Pendant,Silver Ring of Vitriol,War Belt,Club of Perfection
1131,Silk Robe of Power,Silk Slippers,Chain Gloves of the Fox,Ancient Helm of Fury,Necklace,Bronze Ring,Demonhide Belt,Grave Wand
1132,Silk Robe,Dragonskin Boots,Silk Gloves,Dragon's Crown of Fury,Necklace,"""Brimstone Grasp"" Gold Ring of Skill +1","""Dread Bite"" Sash of Power +1",Scimitar
1133,Ring Mail,Dragonskin Boots,Chain Gloves of Vitriol,Hood,Necklace,Platinum Ring,Demonhide Belt,Chronicle
1134,Linen Robe,Demonhide Boots of Anger,Chain Gloves of Perfection,Linen Hood,Amulet,Platinum Ring of Brilliance,Plated Belt,Grave Wand
1135,Demon Husk,Greaves,Hard Leather Gloves,Linen Hood,Pendant,Bronze Ring of Perfection,Hard Leather Belt,Warhammer
1136,Studded Leather Armor,Chain Boots of Giants,Ornate Gauntlets of Reflection,"""Dread Peak"" Divine Hood of Perfection +1",Amulet,Silver Ring,Linen Sash,Falchion of Power
1137,Linen Robe,Greaves,Hard Leather Gloves,Leather Cap,Necklace,Titanium Ring,Dragonskin Belt,"""Carrion Glow"" Scimitar of Rage"
1138,"""Hypnotic Whisper"" Holy Chestplate of Reflection","""Honour Bite"" Demonhide Boots of Enlightenment +1",Gauntlets,Helm,Necklace,Platinum Ring of Vitriol,Silk Sash,Grave Wand
1139,Ornate Chestplate of Power,Studded Leather Boots,"""Golem Glow"" Linen Gloves of Protection",Ancient Helm,Amulet,Titanium Ring,War Belt,Grave Wand
1140,Robe of Brilliance,Ornate Greaves,Silk Gloves,Great Helm,Pendant,Gold Ring,Silk Sash,Club
1141,Robe,Hard Leather Boots,Silk Gloves,Ancient Helm,Pendant of Fury,Silver Ring,War Belt,Grave Wand of Giants
1142,Silk Robe,Greaves,Hard Leather Gloves,Dragon's Crown of the Fox,Pendant,Gold Ring of the Fox,Dragonskin Belt,Tome of Anger
1143,Robe of Protection,Silk Slippers,Wool Gloves,Hood,Amulet,Bronze Ring of Brilliance,Linen Sash,Mace
1144,Shirt,Wool Shoes,Ornate Gauntlets,Ancient Helm,"""Dusk Tear"" Amulet of Brilliance",Gold Ring of Giants,Linen Sash,"""Maelstrom Tear"" Wand of the Twins"
1145,Dragonskin Armor of Rage,Dragonskin Boots,Heavy Gloves,Dragon's Crown of Titans,"""Carrion Tear"" Amulet of Vitriol",Silver Ring,Silk Sash,Long Sword
1146,Dragonskin Armor of Fury,Heavy Boots,Gauntlets,Full Helm,Amulet,Gold Ring,Heavy Belt,"""Demon Moon"" Book of Rage +1"
1147,Ring Mail of Titans,Ornate Greaves,Heavy Gloves,Dragon's Crown,Pendant,Bronze Ring,Ornate Belt,Grave Wand
1148,Shirt,Hard Leather Boots,Ornate Gauntlets of Skill,Cap,"""Grim Shout"" Pendant of Giants +1",Gold Ring of Anger,Heavy Belt,Bone Wand
1149,Robe,Heavy Boots,Studded Leather Gloves,"""Gloom Shout"" Demon Crown of the Twins +1",Amulet,Bronze Ring,Sash,Mace
1150,Plate Mail,"""Demon Grasp"" Hard Leather Boots of Protection +1",Hard Leather Gloves,Ancient Helm,Amulet,Gold Ring,Brightsilk Sash,Warhammer of Enlightenment
1151,Ring Mail,Leather Boots of the Fox,Holy Gauntlets,Great Helm,Pendant,Platinum Ring,"""Light's Roar"" Studded Leather Belt of Reflection",Mace
1152,Demon Husk,Demonhide Boots,Divine Gloves,War Cap,Amulet,Bronze Ring,Sash,Club
1153,Demon Husk,Heavy Boots,Studded Leather Gloves,War Cap,Amulet,Titanium Ring,Demonhide Belt,Grimoire
1154,Shirt,Demonhide Boots,"""Honour Peak"" Hard Leather Gloves of Titans +1",Silk Hood of Fury,Necklace,Titanium Ring,Wool Sash,Bone Wand
1155,Robe,Heavy Boots,Hard Leather Gloves,Silk Hood,Necklace,Gold Ring,Studded Leather Belt,Warhammer
1156,Robe of Brilliance,Dragonskin Boots of Skill,Hard Leather Gloves,Dragon's Crown of Fury,Amulet,Platinum Ring of Reflection,Silk Sash of Anger,Club of Enlightenment
1157,Ring Mail,Chain Boots of the Fox,Hard Leather Gloves,War Cap,"""Corpse Tear"" Amulet of Protection",Titanium Ring,Mesh Belt,Long Sword
1158,Hard Leather Armor,Hard Leather Boots,Studded Leather Gloves,Full Helm,Pendant,Gold Ring of Fury,Ornate Belt of Detection,Long Sword of Enlightenment
1159,Ring Mail,Shoes of Giants,Dragonskin Gloves of Anger,Ancient Helm of Reflection,Necklace,Platinum Ring,Plated Belt,Katana
1160,Studded Leather Armor,Divine Slippers,"""Gloom Peak"" Demon's Hands of Anger +1",Divine Hood,"""Honour Moon"" Pendant of Detection +1",Titanium Ring of Fury,Mesh Belt of Reflection,Long Sword
1161,Chain Mail,Greaves,Dragonskin Gloves,Linen Hood,Pendant,Silver Ring,Heavy Belt,Warhammer of Anger
1162,Silk Robe,Chain Boots of Reflection,"""Vortex Glow"" Divine Gloves of Vitriol",Full Helm,Necklace,Gold Ring,Ornate Belt,Long Sword
1163,Holy Chestplate of Skill,Linen Shoes,Linen Gloves,Great Helm,Pendant,"""Cataclysm Peak"" Platinum Ring of Enlightenment +1",Leather Belt,Tome
1164,Hard Leather Armor,Chain Boots,Heavy Gloves,Silk Hood,Amulet,Titanium Ring of Power,Studded Leather Belt,Ghost Wand
1165,Ring Mail,Divine Slippers,Gauntlets,War Cap,Amulet of Fury,Silver Ring,War Belt of Power,Tome
1166,Dragonskin Armor,Studded Leather Boots,Gauntlets,Leather Cap,Pendant,Platinum Ring,Brightsilk Sash,Warhammer of the Fox
1167,Linen Robe,Ornate Greaves,Divine Gloves,"""Soul Glow"" Crown of Detection",Amulet,Gold Ring,Silk Sash,"""Woe Moon"" Book of the Twins +1"
1168,Leather Armor,Heavy Boots,Linen Gloves,Hood,Necklace of Power,Bronze Ring,Linen Sash of Fury,Grave Wand
1169,Dragonskin Armor of Enlightenment,Hard Leather Boots,Gloves,Ancient Helm,Necklace,Bronze Ring,Demonhide Belt,Mace of Giants
1170,Divine Robe,Hard Leather Boots,Dragonskin Gloves,War Cap,Necklace,Silver Ring,Ornate Belt,Short Sword
1171,Ornate Chestplate,Heavy Boots,Holy Gauntlets,"""Grim Shout"" Leather Cap of the Twins +1",Necklace,Platinum Ring,Heavy Belt,Short Sword
1172,Ring Mail,Divine Slippers,Gauntlets of Anger,Helm,Amulet,Platinum Ring of Enlightenment,Ornate Belt of Perfection,Maul
1173,Hard Leather Armor,Leather Boots of Power,Silk Gloves,"""Light's Glow"" Crown of Giants",Pendant,Bronze Ring,Sash,Short Sword
1174,Ring Mail,Greaves,Dragonskin Gloves,"""Morbid Whisper"" War Cap of Fury",Necklace,Platinum Ring,Plated Belt,Warhammer of Power
1175,Demon Husk,Divine Slippers,Gauntlets of Anger,Crown,Pendant,Titanium Ring,Studded Leather Belt,Grimoire
1176,"""Grim Peak"" Linen Robe of Reflection +1",Hard Leather Boots of Detection,Wool Gloves of the Twins,Full Helm of the Fox,Amulet,Platinum Ring,Dragonskin Belt,Chronicle of Protection
1177,Ornate Chestplate,Chain Boots,Chain Gloves,Ancient Helm,Amulet of Enlightenment,Silver Ring,Wool Sash,Book
1178,Holy Chestplate,Holy Greaves of Enlightenment,Hard Leather Gloves,Linen Hood,Necklace of Vitriol,Titanium Ring,Sash,Maul of Anger
1179,Ornate Chestplate,Ornate Greaves,Gloves,Ornate Helm,Pendant,Gold Ring of Protection,Plated Belt of Enlightenment,Wand
1180,Leather Armor,Greaves,Dragonskin Gloves,"""Golem Whisper"" Linen Hood of Anger",Amulet,Silver Ring of Titans,Hard Leather Belt,Maul
1181,Divine Robe,Shoes,Holy Gauntlets,Cap,Pendant,Titanium Ring,Leather Belt of Detection,Quarterstaff
1182,Plate Mail of the Fox,Hard Leather Boots,Demon's Hands of Skill,Crown,Necklace of Power,Gold Ring,War Belt,"""Oblivion Peak"" Grimoire of Fury +1"
1183,Ornate Chestplate,Wool Shoes of Power,Studded Leather Gloves,Great Helm,Necklace of Vitriol,Titanium Ring of Rage,Demonhide Belt,Ghost Wand of Titans
1184,Dragonskin Armor of Perfection,Silk Slippers,Hard Leather Gloves,Cap,Amulet,Titanium Ring,Hard Leather Belt,Grave Wand
1185,Shirt,Leather Boots,Wool Gloves,Full Helm,Pendant,Silver Ring,War Belt,"""Light's Whisper"" Ghost Wand of Power"
1186,"""Demon Moon"" Linen Robe of Detection +1",Shoes of Skill,Gloves of Giants,Helm,Necklace,Gold Ring,"""Sorrow Moon"" Plated Belt of Rage +1",Ghost Wand
1187,Ornate Chestplate,Studded Leather Boots,Demon's Hands,Cap,Necklace,Bronze Ring,Dragonskin Belt,Short Sword
1188,Dragonskin Armor of Protection,"""Tempest Bender"" Greaves of Power +1",Heavy Gloves,Crown,Pendant,Bronze Ring,Wool Sash,Mace
1189,Plate Mail of Power,Studded Leather Boots,"""Woe Shout"" Demon's Hands of Protection +1",Silk Hood,Amulet,Bronze Ring,Silk Sash,Chronicle
1190,Silk Robe,Silk Slippers,Holy Gauntlets of Perfection,Crown of Anger,Pendant,Gold Ring,Leather Belt,Short Sword of Protection
1191,Leather Armor of Perfection,Studded Leather Boots,Dragonskin Gloves,Divine Hood of Perfection,Pendant,Silver Ring,Leather Belt of Vitriol,Short Sword of Vitriol
1192,Plate Mail,Holy Greaves,Silk Gloves of Fury,Ancient Helm,"""Sorrow Peak"" Pendant of Titans +1",Titanium Ring,Ornate Belt of the Twins,Book
1193,Linen Robe,Wool Shoes of Giants,Hard Leather Gloves,"""Fate Roar"" Linen Hood of Enlightenment",Necklace,Silver Ring of Rage,Hard Leather Belt,Grave Wand
1194,Linen Robe,Wool Shoes of Rage,Heavy Gloves,"""Fate Roar"" Ornate Helm of Reflection",Pendant of Enlightenment,"""Dusk Roar"" Platinum Ring of Perfection",Mesh Belt of Giants,Book
1195,Linen Robe of the Fox,Wool Shoes of Brilliance,Leather Gloves,Linen Hood,Pendant,Silver Ring,Sash,Mace
1196,"""Dusk Sun"" Studded Leather Armor of Fury",Ornate Greaves of Giants,Hard Leather Gloves,Leather Cap,Necklace,Platinum Ring,Studded Leather Belt,Wand of Skill
1197,Holy Chestplate of Titans,Ornate Greaves,Ornate Gauntlets,Ancient Helm,Necklace,Titanium Ring,Wool Sash,Quarterstaff
1198,Hard Leather Armor,Wool Shoes,Gauntlets,Divine Hood of Detection,Amulet of Skill,Bronze Ring,Mesh Belt of Titans,Tome of Fury
1199,Hard Leather Armor,Shoes,Leather Gloves,Leather Cap,Amulet,Silver Ring,Silk Sash,Bone Wand
1200,"""Eagle Grasp"" Ring Mail of Rage +1",Silk Slippers,Divine Gloves,Divine Hood,Necklace,Platinum Ring,Studded Leather Belt,Falchion
1201,Linen Robe,Leather Boots,Hard Leather Gloves,Linen Hood of Brilliance,Pendant,Silver Ring,Dragonskin Belt,Wand
1202,Shirt,Studded Leather Boots,Demon's Hands,Silk Hood,Amulet of Power,"""Ghoul Glow"" Titanium Ring of Brilliance","""Sorrow Shout"" Hard Leather Belt of Rage +1",Wand
1203,Shirt,Chain Boots,Gauntlets,War Cap,Pendant,Titanium Ring,Wool Sash of Detection,Warhammer
1204,Ornate Chestplate of Skill,Chain Boots of Detection,Silk Gloves,Cap,Pendant,Silver Ring,Linen Sash,Falchion
1205,"""Light's Whisper"" Studded Leather Armor of Perfection",Ornate Greaves,Linen Gloves,Crown,Necklace,Titanium Ring,Mesh Belt,Chronicle
1206,Studded Leather Armor,Leather Boots,Linen Gloves,"""Foe Moon"" Hood of Detection +1",Pendant,Titanium Ring,Sash,Falchion
1207,Divine Robe,Leather Boots of the Fox,"""Plague Glow"" Ornate Gauntlets of Brilliance",Crown,Pendant of Enlightenment,Silver Ring of Reflection,Mesh Belt,Bone Wand of Power
1208,Robe,Shoes,Heavy Gloves,"""Fate Roar"" Helm of the Fox",Amulet,Silver Ring,Demonhide Belt of Skill,Scimitar
1209,Divine Robe of Giants,Wool Shoes of Vitriol,Wool Gloves,Ancient Helm,Amulet of Reflection,Platinum Ring,War Belt,Warhammer
1210,Robe of Perfection,Studded Leather Boots,"""Oblivion Moon"" Demon's Hands of the Twins +1",Demon Crown of Perfection,Amulet,Gold Ring of Skill,Demonhide Belt of Rage,"""Behemoth Root"" Quarterstaff of Detection"
1211,Studded Leather Armor,Linen Shoes,"""Dusk Sun"" Heavy Gloves of Power",Silk Hood,Necklace of Titans,Bronze Ring of the Twins,Wool Sash,Maul
1212,Studded Leather Armor,Linen Shoes,Holy Gauntlets,Full Helm,Amulet,Bronze Ring,Brightsilk Sash of the Twins,"""Victory Grasp"" Katana of Giants +1"
1213,Plate Mail of Fury,Ornate Greaves of the Twins,Gloves,"""Grim Bender"" Divine Hood of Enlightenment +1",Necklace of Fury,Titanium Ring of Brilliance,"""Dusk Tear"" Heavy Belt of Detection",Maul
1214,Demon Husk of Reflection,Greaves,Wool Gloves,Crown,Pendant,Bronze Ring,"""Blight Grasp"" Demonhide Belt of the Twins +1",Club
1215,Ring Mail,Greaves,Heavy Gloves,Great Helm,Pendant,Platinum Ring,Silk Sash,Book of Detection
1216,Studded Leather Armor,Linen Shoes,Linen Gloves of Power,Hood,Pendant of Giants,Titanium Ring,Dragonskin Belt,Scimitar
1217,Leather Armor,Chain Boots,Demon's Hands of the Fox,Great Helm,Pendant,Bronze Ring,Studded Leather Belt,Long Sword
1218,Leather Armor,Dragonskin Boots,Chain Gloves of Perfection,Divine Hood,Pendant,Platinum Ring,Linen Sash,"""Mind Grasp"" Katana of Detection +1"
1219,"""Pandemonium Grasp"" Hard Leather Armor of Skill +1",Heavy Boots,Gauntlets,"""Bramble Glow"" Helm of Vitriol",Necklace of Detection,Platinum Ring,War Belt of Rage,"""Skull Grasp"" Katana of Giants +1"
1220,Hard Leather Armor,Studded Leather Boots,Holy Gauntlets,War Cap,Amulet,Platinum Ring,Heavy Belt,Scimitar
1221,Leather Armor of Skill,Holy Greaves,Linen Gloves,Ornate Helm,Amulet,Silver Ring,Wool Sash,Mace
1222,Divine Robe of Brilliance,Wool Shoes,Holy Gauntlets,Helm of Reflection,Necklace,Platinum Ring,Demonhide Belt,Katana
1223,Ornate Chestplate,Ornate Greaves,Gloves of Anger,Hood,Pendant of Brilliance,Gold Ring,Dragonskin Belt of Giants,Grimoire
1224,Linen Robe,Dragonskin Boots,Studded Leather Gloves of Rage,Demon Crown,Necklace,Silver Ring,Leather Belt,Short Sword
1225,Ring Mail,Studded Leather Boots,Wool Gloves of the Twins,Dragon's Crown of Anger,Necklace of Anger,Titanium Ring of Giants,Sash,"""Fate Glow"" Scimitar of Giants"
1226,Divine Robe,Holy Greaves,Heavy Gloves of the Fox,"""Demon Bite"" Demon Crown of Reflection +1",Pendant,Titanium Ring,Heavy Belt,Maul
1227,Studded Leather Armor of Enlightenment,Ornate Greaves,Hard Leather Gloves of Skill,Leather Cap,Necklace,Titanium Ring,Dragonskin Belt,Quarterstaff
1228,Silk Robe,Leather Boots of Reflection,Gauntlets,Crown,Amulet,Gold Ring,Heavy Belt,Scimitar
1229,Leather Armor,Greaves of Skill,Studded Leather Gloves,Leather Cap,Necklace of Titans,"""Skull Moon"" Bronze Ring of Detection +1",Dragonskin Belt of Fury,Quarterstaff
1230,Chain Mail,Demonhide Boots,Chain Gloves,Hood,Amulet,Bronze Ring,Brightsilk Sash,Chronicle
1231,Silk Robe,Wool Shoes,Wool Gloves of the Twins,Hood,Amulet,Gold Ring,Demonhide Belt,Katana
1232,Dragonskin Armor of Rage,"""Vengeance Glow"" Divine Slippers of the Twins",Heavy Gloves,Crown,"""Honour Grasp"" Pendant of Vitriol +1",Bronze Ring,Heavy Belt,"""Soul Sun"" Tome of Fury"
1233,Linen Robe,Ornate Greaves,Leather Gloves of Brilliance,Divine Hood,Necklace,"""Fate Glow"" Bronze Ring of Giants",Brightsilk Sash,"""Apocalypse Glow"" Scimitar of Detection"
1234,Holy Chestplate,Divine Slippers of Perfection,Dragonskin Gloves,"""Woe Shout"" Demon Crown of Protection +1",Necklace,Titanium Ring,Silk Sash,Book
1235,Demon Husk,Dragonskin Boots,Gauntlets of the Fox,Demon Crown,Pendant,Platinum Ring,"""Death Glow"" Studded Leather Belt of Giants",Mace
1236,Ring Mail,Linen Shoes,"""Ghoul Root"" Divine Gloves of the Twins",Helm,Pendant,Platinum Ring,Dragonskin Belt,Club
1237,Holy Chestplate,Greaves,Divine Gloves,Cap,Amulet,Titanium Ring,Dragonskin Belt of the Twins,Long Sword
1238,Linen Robe,Chain Boots,Gloves,Ancient Helm,Pendant,Bronze Ring,Studded Leather Belt,Wand
1239,Leather Armor,Wool Shoes,Hard Leather Gloves,Divine Hood,Necklace of Reflection,Platinum Ring,Plated Belt,Maul
1240,"""Light's Root"" Shirt of Protection",Greaves,Studded Leather Gloves,Ancient Helm,Pendant of Enlightenment,Silver Ring,Demonhide Belt,Wand
1241,"""Corpse Root"" Silk Robe of Rage",Dragonskin Boots,Divine Gloves,Silk Hood,Amulet,Gold Ring,Leather Belt,Quarterstaff
1242,Robe of Fury,Wool Shoes,"""Brimstone Grasp"" Gauntlets of Rage +1","""Gloom Shout"" Hood of Rage +1",Amulet,Platinum Ring of Rage,Linen Sash,Mace of Skill
1243,Shirt,Hard Leather Boots of Anger,Divine Gloves,"""Storm Tear"" War Cap of Brilliance",Necklace,Silver Ring of Detection,"""Dread Peak"" Silk Sash of Enlightenment +1",Mace
1244,"""Brimstone Bender"" Ornate Chestplate of Fury +1",Wool Shoes,Divine Gloves,Cap,Pendant,Silver Ring of Anger,"""Armageddon Bite"" Silk Sash of Perfection +1",Long Sword
1245,"""Foe Grasp"" Ring Mail of the Twins +1",Chain Boots,Holy Gauntlets of Protection,Ornate Helm,Amulet,"""Foe Bite"" Bronze Ring of the Fox +1",Brightsilk Sash,Wand
1246,Robe of Vitriol,Studded Leather Boots,Hard Leather Gloves,Crown,"""Eagle Grasp"" Pendant of Giants +1",Bronze Ring of Rage,"""Mind Bite"" Sash of Enlightenment +1",Grimoire
1247,Chain Mail,Demonhide Boots,Wool Gloves,Great Helm,Necklace,Platinum Ring,"""Foe Bite"" Plated Belt of Fury +1",Grave Wand
1248,Hard Leather Armor,Wool Shoes,Hard Leather Gloves,Crown,Amulet of Perfection,Gold Ring of Enlightenment,Silk Sash,Mace
1249,"""Dusk Sun"" Holy Chestplate of Fury",Linen Shoes of Titans,Chain Gloves of Vitriol,"""Oblivion Moon"" Demon Crown of Vitriol +1",Necklace,Titanium Ring,War Belt of Anger,Katana
1250,Plate Mail of Giants,Heavy Boots,Divine Gloves,Divine Hood of Rage,Amulet,Titanium Ring,Demonhide Belt,Warhammer
1251,Divine Robe,"""Demon Peak"" Shoes of Fury +1","""Sorrow Grasp"" Hard Leather Gloves of Skill +1",Ornate Helm,Amulet,Gold Ring of Titans,Plated Belt,Katana
1252,Plate Mail,Chain Boots of Protection,Dragonskin Gloves,"""Bramble Glow"" Ornate Helm of Skill",Necklace of Enlightenment,Silver Ring,Silk Sash,Warhammer
1253,Plate Mail of Giants,Leather Boots,Gauntlets,Helm of Reflection,Necklace,Bronze Ring,Mesh Belt,"""Blight Grasp"" Katana of Skill +1"
1254,Robe,Silk Slippers,Divine Gloves,Leather Cap,Amulet,"""Brimstone Peak"" Titanium Ring of Anger +1",War Belt,"""Honour Grasp"" Katana of Vitriol +1"
1255,Leather Armor,Wool Shoes,Leather Gloves,Ornate Helm of the Fox,Amulet,Titanium Ring,Wool Sash,Tome
1256,Studded Leather Armor,Chain Boots of Vitriol,Wool Gloves,"""Eagle Grasp"" Hood of Giants +1",Necklace of Brilliance,Silver Ring of Detection,Hard Leather Belt,Mace
1257,Leather Armor,Leather Boots,Chain Gloves of Skill,Full Helm,Amulet,"""Corruption Grasp"" Platinum Ring of Rage +1",Silk Sash of Titans,Wand
1258,Linen Robe,Chain Boots,Silk Gloves,Silk Hood of Protection,Amulet,Bronze Ring,Demonhide Belt of Giants,Chronicle
1259,Shirt,Silk Slippers of Protection,Chain Gloves,Ancient Helm,Pendant,Bronze Ring,Dragonskin Belt,"""Pandemonium Bite"" Maul of Enlightenment +1"
1260,Robe,Greaves,Divine Gloves of Perfection,Great Helm of Reflection,Amulet,Silver Ring,Mesh Belt,Chronicle of Detection
1261,Demon Husk,"""Foe Moon"" Hard Leather Boots of Vitriol +1",Wool Gloves,Linen Hood,Necklace,Titanium Ring of Vitriol,"""Ghoul Root"" Heavy Belt of Detection",Tome
1262,"""Golem Sun"" Silk Robe of Power",Heavy Boots,Hard Leather Gloves of Detection,Ancient Helm of Skill,Pendant,Bronze Ring,Leather Belt,Falchion of Enlightenment
1263,Linen Robe,Greaves,Chain Gloves of Protection,Hood of Giants,Pendant,Platinum Ring,Heavy Belt,Wand of the Twins
1264,Demon Husk,Wool Shoes of Brilliance,Heavy Gloves,Linen Hood,"""Vengeance Sun"" Amulet of Fury",Bronze Ring,Plated Belt,Book
1265,Ring Mail,Holy Greaves,Leather Gloves,Hood,Pendant,Bronze Ring,Studded Leather Belt,Chronicle of Protection
1266,"""Maelstrom Whisper"" Chain Mail of Titans",Ornate Greaves,Wool Gloves,Cap,Pendant,Platinum Ring,Plated Belt,Falchion
1267,Plate Mail,Demonhide Boots,Demon's Hands,War Cap,Pendant,Gold Ring of Skill,Plated Belt,Chronicle of Rage
1268,Studded Leather Armor,Chain Boots of Anger,Dragonskin Gloves,War Cap,Necklace,Platinum Ring,Plated Belt,Maul
1269,Studded Leather Armor,"""Armageddon Bender"" Shoes of Power +1",Holy Gauntlets,Helm,Pendant,Bronze Ring,Wool Sash of Giants,Tome of Power
1270,"""Armageddon Peak"" Linen Robe of the Fox +1",Demonhide Boots,Holy Gauntlets of Enlightenment,Linen Hood,Necklace,Bronze Ring,Mesh Belt,Mace
1271,Shirt,Greaves,Chain Gloves,Crown,Pendant,Titanium Ring,Studded Leather Belt,Maul
1272,Hard Leather Armor,Demonhide Boots,Heavy Gloves,Dragon's Crown,Necklace,Platinum Ring,Silk Sash,Short Sword
1273,Ring Mail of Vitriol,Holy Greaves,Studded Leather Gloves,"""Maelstrom Roar"" Ornate Helm of Fury",Amulet of the Fox,Gold Ring,Leather Belt,Maul of Power
1274,Hard Leather Armor,"""Death Sun"" Heavy Boots of Perfection",Studded Leather Gloves,Cap,Necklace,Titanium Ring,Hard Leather Belt of Anger,Warhammer
1275,Leather Armor,Wool Shoes of Reflection,Wool Gloves,"""Morbid Whisper"" Linen Hood of Power",Amulet of Giants,Bronze Ring,Mesh Belt of Titans,Katana
1276,Leather Armor,Holy Greaves of Skill,Linen Gloves of Detection,Cap,Necklace,Silver Ring,Ornate Belt of Giants,Bone Wand
1277,Robe,Divine Slippers of Fury,Dragonskin Gloves,Divine Hood,"""Tempest Moon"" Pendant of Giants +1",Titanium Ring of Skill,"""Skull Bite"" Plated Belt of Perfection +1",Short Sword
1278,"""Dusk Sun"" Holy Chestplate of Titans",Demonhide Boots,"""Light's Tear"" Linen Gloves of Protection",Dragon's Crown,Pendant,Silver Ring of Protection,Leather Belt,Grimoire
1279,Plate Mail,Shoes,Dragonskin Gloves,Hood of Fury,Necklace,Platinum Ring,Linen Sash,"""Sorrow Peak"" Grimoire of Enlightenment +1"
1280,Hard Leather Armor,Dragonskin Boots of Anger,Studded Leather Gloves,Hood of Rage,Amulet,Silver Ring,Leather Belt,Chronicle
1281,Robe,Divine Slippers of the Fox,Gauntlets of Enlightenment,"""Oblivion Shout"" Divine Hood of Detection +1","""Demon Bender"" Pendant of Reflection +1",Platinum Ring,Heavy Belt,Club
1282,"""Woe Bite"" Ornate Chestplate of the Fox +1",Shoes,Silk Gloves,Silk Hood,"""Rune Glow"" Amulet of Rage",Silver Ring,Heavy Belt of Fury,Grimoire
1283,Studded Leather Armor,Studded Leather Boots of Power,Silk Gloves,Demon Crown,Necklace of Power,Silver Ring,Sash,Warhammer of the Fox
1284,Demon Husk of Enlightenment,"""Corruption Bender"" Greaves of Reflection +1",Chain Gloves,Helm,Necklace,Bronze Ring,Wool Sash,Grave Wand
1285,Silk Robe,"""Mind Peak"" Greaves of Fury +1",Dragonskin Gloves,Divine Hood,Necklace,Platinum Ring,Plated Belt,Ghost Wand
1286,Linen Robe,Leather Boots,Leather Gloves,War Cap,Pendant,Titanium Ring,Studded Leather Belt of the Fox,Tome of Power
